date,ticker,open,high,low,close,volume
02/01/2025,MSFT,425.53,426.07,414.85,418.58,16.90M
03/01/2025,MSFT,421.08,424.03,419.54,423.35,16.66M
06/01/2025,MSFT,428,434.32,425.48,427.85,20.57M
07/01/2025,MSFT,429,430.65,420.8,422.37,18.14M
08/01/2025,MSFT,423.46,426.97,421.54,424.56,15.05M
10/01/2025,MSFT,424.63,424.71,415.02,418.95,20.20M
13/01/2025,MSFT,415.23,418.5,412.29,417.19,17.60M
14/01/2025,MSFT,417.81,419.74,410.72,415.67,16.94M
15/01/2025,MSFT,419.13,428.15,418.27,426.31,19.64M
16/01/2025,MSFT,428.7,429.49,424.39,424.58,15.30M
17/01/2025,MSFT,434.08,434.48,428.17,429.03,26.20M
21/01/2025,MSFT,430.2,430.9,425.6,428.5,26.09M
22/01/2025,MSFT,437.56,447.27,436,446.2,27.80M
23/01/2025,MSFT,442,446.75,441.5,446.71,18.39M
24/01/2025,MSFT,445.16,446.65,441.4,444.06,15.55M
27/01/2025,MSFT,424.01,435.2,423.5,434.56,35.65M
28/01/2025,MSFT,434.6,448.38,431.38,447.2,23.49M
29/01/2025,MSFT,446.69,446.88,440.4,442.33,23.58M
30/01/2025,MSFT,418.77,422.86,413.16,414.99,54.59M
31/01/2025,MSFT,418.98,420.69,414.91,415.06,34.22M
03/02/2025,MSFT,411.6,415.41,408.66,410.92,25.68M
04/02/2025,MSFT,412.68,413.92,409.74,412.37,20.53M
05/02/2025,MSFT,412.35,413.83,410.4,413.29,16.34M
06/02/2025,MSFT,414,418.2,414,415.82,16.31M
07/02/2025,MSFT,416.48,418.65,408.1,409.75,22.89M
10/02/2025,MSFT,413.71,415.46,410.92,412.22,20.82M
11/02/2025,MSFT,409.64,412.49,409.3,411.44,18.14M
12/02/2025,MSFT,407.21,410.75,404.37,409.04,19.12M
13/02/2025,MSFT,407,411,406.36,410.54,23.89M
14/02/2025,MSFT,407.79,408.91,405.88,408.43,22.76M
18/02/2025,MSFT,408,410.6,406.5,409.64,21.42M
19/02/2025,MSFT,407.88,415.49,407.65,414.77,24.11M
20/02/2025,MSFT,415.29,419.31,412.54,416.13,23.51M
21/02/2025,MSFT,417.33,418.05,407.89,408.21,27.52M
24/02/2025,MSFT,408.51,409.37,399.32,404,26.44M
25/02/2025,MSFT,401.1,401.92,396.7,397.9,29.39M
26/02/2025,MSFT,398.01,403.6,394.24,399.73,19.62M
27/02/2025,MSFT,401.27,405.74,392.17,392.53,21.13M
28/02/2025,MSFT,392.65,397.63,386.57,396.99,32.85M
03/03/2025,MSFT,398.82,398.82,386.15,388.49,23.01M
04/03/2025,MSFT,383.4,392.58,381,388.61,29.34M
05/03/2025,MSFT,389.34,401.67,388.81,401.02,23.43M
06/03/2025,MSFT,394.28,402.15,392.68,396.89,23.30M
