date,ticker,open,high,low,close,volume
02/01/2025,TSLA,390.1,392.73,373.04,379.28,109.71M
03/01/2025,TSLA,381.48,411.88,379.45,410.44,95.42M
06/01/2025,TSLA,423.2,426.43,401.7,411.05,85.52M
07/01/2025,TSLA,405.83,414.33,390,394.36,75.70M
08/01/2025,TSLA,392.95,402.5,387.4,394.94,73.04M
10/01/2025,TSLA,391.4,399.28,377.29,394.74,62.29M
13/01/2025,TSLA,383.21,403.79,380.07,403.31,67.58M
14/01/2025,TSLA,414.34,422.64,394.54,396.36,84.57M
15/01/2025,TSLA,409.9,429.8,405.66,428.22,81.38M
16/01/2025,TSLA,423.49,424,409.13,413.82,68.34M
17/01/2025,TSLA,421.5,439.74,419.75,426.5,94.99M
21/01/2025,TSLA,432.64,433.2,406.31,424.07,87.32M
22/01/2025,TSLA,416.81,428,414.59,415.11,60.96M
23/01/2025,TSLA,416.06,420.73,408.95,412.38,50.69M
24/01/2025,TSLA,414.45,418.88,405.78,406.58,56.43M
27/01/2025,TSLA,394.8,406.69,389,397.15,58.13M
28/01/2025,TSLA,396.91,400.59,386.5,398.09,48.91M
29/01/2025,TSLA,395.21,398.59,384.48,389.1,68.03M
30/01/2025,TSLA,410.78,412.5,384.41,400.28,98.09M
31/01/2025,TSLA,401.53,419.99,401.34,404.6,83.57M
03/02/2025,TSLA,386.68,389.17,374.36,383.68,93.73M
04/02/2025,TSLA,382.63,394,381.4,392.21,57.07M
05/02/2025,TSLA,387.51,388.39,375.53,378.17,57.61M
06/02/2025,TSLA,373.03,375.4,363.18,374.32,77.92M
07/02/2025,TSLA,370.19,380.55,360.34,361.62,70.30M
10/02/2025,TSLA,356.21,362.7,350.51,350.73,77.51M
11/02/2025,TSLA,345.8,349.37,325.1,328.5,118.54M
12/02/2025,TSLA,329.94,346.4,329.12,336.51,105.38M
13/02/2025,TSLA,345,358.69,342.85,355.94,89.44M
14/02/2025,TSLA,360.62,362,347.5,355.84,68.28M
18/02/2025,TSLA,355.01,359.1,350.02,354.11,51.63M
19/02/2025,TSLA,354,367.34,353.67,360.56,67.09M
20/02/2025,TSLA,361.51,362.3,348,354.4,45.97M
21/02/2025,TSLA,353.44,354.98,334.42,337.8,74.06M
24/02/2025,TSLA,338.14,342.4,324.7,330.53,76.05M
25/02/2025,TSLA,327.02,328.89,297.25,302.8,134.23M
26/02/2025,TSLA,303.71,309,288.04,290.8,100.12M
27/02/2025,TSLA,291.16,297.23,280.88,281.95,101.75M
28/02/2025,TSLA,279.5,293.88,273.6,292.98,115.70M
03/03/2025,TSLA,300.34,303.94,277.3,284.65,115.55M
04/03/2025,TSLA,270.93,284.35,261.84,272.04,126.71M
05/03/2025,TSLA,272.92,279.55,267.71,279.1,94.04M
06/03/2025,TSLA,272.06,272.65,260.02,263.45,98.45M
07/03/2025,TSLA,259.32,266.25,250.73,262.67,102.37M
10/03/2025,TSLA,252.54,253.37,220,222.15,189.08M
11/03/2025,TSLA,225.3,237.06,217.02,230.58,174.90M
12/03/2025,TSLA,247.22,251.84,241.1,248.09,142.22M
13/03/2025,TSLA,248.13,248.29,232.6,240.68,114.81M
14/03/2025,TSLA,247.31,251.58,240.73,249.98,100.24M
17/03/2025,TSLA,245.05,245.4,232.8,238.01,111.90M
18/03/2025,TSLA,228.15,230.1,222.28,225.31,111.48M
19/03/2025,TSLA,231.61,241.41,229.2,235.86,111.99M
20/03/2025,TSLA,233.35,238,230.05,236.26,99.03M
21/03/2025,TSLA,234.99,249.52,234.55,248.71,132.73M
24/03/2025,TSLA,258.08,278.64,256.33,278.39,169.08M
25/03/2025,TSLA,283.6,288.2,271.28,288.14,150.36M
26/03/2025,TSLA,282.66,284.9,266.51,272.06,156.25M
27/03/2025,TSLA,272.48,291.85,271.82,273.13,162.57M
28/03/2025,TSLA,275.58,276.1,260.57,263.55,123.81M
31/03/2025,TSLA,249.31,260.56,243.36,259.16,134.01M
01/04/2025,TSLA,263.8,277.45,259.25,268.46,146.49M
02/04/2025,TSLA,254.6,284.99,251.27,282.76,212.79M
03/04/2025,TSLA,265.29,276.3,261.51,267.28,136.17M
04/04/2025,TSLA,255.38,261,236,239.43,181.23M
07/04/2025,TSLA,223.78,252,214.25,233.29,183.45M
08/04/2025,TSLA,245,250.44,217.8,221.86,171.60M
09/04/2025,TSLA,224.69,274.69,223.88,272.2,219.43M
10/04/2025,TSLA,260,262.49,239.33,252.4,181.72M
11/04/2025,TSLA,251.84,257.74,241.36,252.31,128.95M
14/04/2025,TSLA,258.36,261.8,245.93,252.35,100.14M
15/04/2025,TSLA,249.91,258.75,247.54,254.11,79.59M
16/04/2025,TSLA,247.61,251.97,233.89,241.55,112.38M
17/04/2025,TSLA,243.47,244.34,237.68,241.37,83.40M
21/04/2025,TSLA,230.26,232.21,222.79,227.5,97.77M
22/04/2025,TSLA,230.96,242.79,229.85,237.97,120.86M
23/04/2025,TSLA,254.86,259.45,244.43,250.74,150.38M
24/04/2025,TSLA,250.5,259.54,249.2,259.51,94.46M
25/04/2025,TSLA,261.69,286.85,259.63,284.95,167.56M
28/04/2025,TSLA,288.98,294.86,272.42,285.88,151.73M
29/04/2025,TSLA,285.5,293.32,279.47,292.03,108.91M
30/04/2025,TSLA,279.9,284.45,270.78,282.16,128.96M
01/05/2025,TSLA,280.01,290.87,279.81,280.52,99.66M
02/05/2025,TSLA,284.9,294.78,279.81,287.21,114.45M
05/05/2025,TSLA,284.57,284.85,274.4,280.26,94.62M
06/05/2025,TSLA,273.11,277.73,271.35,275.35,76.72M
07/05/2025,TSLA,276.88,277.92,271,276.22,71.88M
08/05/2025,TSLA,279.63,289.8,279.41,284.82,97.54M
09/05/2025,TSLA,290.21,307.04,290,298.26,132.39M
12/05/2025,TSLA,321.99,322.21,311.5,318.38,112.83M
13/05/2025,TSLA,320,337.59,316.8,334.07,136.99M
14/05/2025,TSLA,342.5,350,337,347.68,137.00M
15/05/2025,TSLA,340.34,346.14,334.72,342.82,97.88M
16/05/2025,TSLA,346.24,351.62,342.33,349.98,95.90M
19/05/2025,TSLA,336.3,343,333.37,342.09,88.87M
20/05/2025,TSLA,347.87,354.99,341.63,343.82,131.72M
21/05/2025,TSLA,344.43,347.35,332.2,334.62,102.35M
22/05/2025,TSLA,331.9,347.27,331.39,341.04,97.11M
23/05/2025,TSLA,337.92,343.18,333.21,339.34,84.65M
27/05/2025,TSLA,347.35,363.79,347.32,362.89,120.15M
28/05/2025,TSLA,364.84,365,355.91,356.9,91.40M
29/05/2025,TSLA,365.29,367.71,356,358.43,88.55M
30/05/2025,TSLA,355.52,363.68,345.29,346.46,123.47M
02/06/2025,TSLA,343.5,348.02,333.33,342.69,81.87M
03/06/2025,TSLA,346.6,355.4,343.04,344.27,99.32M
04/06/2025,TSLA,345.1,345.6,327.33,332.05,98.91M
05/06/2025,TSLA,322.49,324.55,273.21,284.7,292.82M
06/06/2025,TSLA,298.83,305.5,291.14,295.14,164.75M
09/06/2025,TSLA,285.95,309.83,281.85,308.58,140.91M
10/06/2025,TSLA,314.94,327.83,310.67,326.09,151.26M
11/06/2025,TSLA,334.39,335.5,322.5,326.43,122.61M
12/06/2025,TSLA,323.08,332.56,316.86,319.11,105.13M
13/06/2025,TSLA,313.97,332.99,313.3,325.31,128.96M
16/06/2025,TSLA,331.29,332.05,326.41,329.13,83.93M
17/06/2025,TSLA,326.09,327.26,314.74,316.35,88.28M
18/06/2025,TSLA,317.31,329.32,315.45,322.05,95.14M
20/06/2025,TSLA,327.95,332.36,317.78,322.16,108.69M
23/06/2025,TSLA,327.54,357.54,327.48,348.68,190.72M
24/06/2025,TSLA,356.17,356.26,340.44,340.47,114.74M
25/06/2025,TSLA,342.7,343,320.4,327.55,119.85M
26/06/2025,TSLA,324.61,331.05,323.61,325.78,80.44M
27/06/2025,TSLA,324.51,329.34,317.49,323.63,89.07M
30/06/2025,TSLA,319.9,325.58,316.6,317.66,76.70M
